ID;Package name;Clone dir;Commit hash;N. Releases;Commit date; Avg time interval
57;tensorflow-gpu;tensorflow;5ac1b9e24ff6afc465756edf845d2e9660bd34bf;14;2019-12-20;191
69;tensorflow;tensorflow;db4f9717c41bccc3ce10099ab61996b246099892;35;2019-07-03;258
88;tensorflow;tensorflow;c89ab82a82585cdaa90bf4911980e9e845909e78;69;2018-04-09;468
90;tensorflow;tensorflow;2006ef57602012939dc10d7e8961925b320d3ef6;1;2018-04-17;17
91;tensorflow;tensorflow;c48431588e7cf8aff61d4c299231e3e925144df8;76;2018-01-30;491
103;tensorflow;tensorflow;41335abb46f80ca644b5738550daef6136ba5476;69;2018-03-19;488
176;tqdm;tqdm;7996430e92ca0babec510fcf18d62c9f9c4e6b4d;73;2017-01-22;720
223;twilio;twilio-python;022ea4cb852da3ec7cbd6da9cf09b46fc4742f99;187;2013-05-20;1580
203;twine;twine;29e85757559154e919c9fe0a7f5803a425628855;30;2015-04-15;919
45;twisted;twisted;63a707ed62ec95fe0285ac061721bd5de81d2e37;12;2018-10-20;553
97;twisted;twisted;6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2;10;2019-06-05;393
205;twisted;twisted;3b5942252f5f3e45862a0e12b266ab29e243cc33;2;2014-09-17;0
3;urllib3;urllib3;1dd69c5c5982fae7c87a620d487c2ebf7a6b436b;3;2020-02-17;152
104;urllib3;urllib3;5d523706c7b03f947dc50a7e783758a2bfff0532;12;2019-04-20;194
180;urllib3;urllib3;5e36a7096455ea94fb28b623d64e1f1bad97f822;23;2016-10-27;776
24;wagtail;wagtail;d9a41e7f24d08c024acc9a3094940199df94db34;7;2020-07-20;47
46;waitress;waitress;4deab9f23f9eb273971da247981aa85b7a16e946;21;2016-03-19;818
56;waitress;waitress;6e46f9e3f014d64dd7d1e258eaf626e39870ee1f;2;2020-02-02;59
59;waitress;waitress;575994cd42e83fd772a5f7ec98b2c56751bd3f65;5;2019-12-19;47
66;waitress;waitress;11d9e138125ad46e951027184b13242a3c1de017;4;2019-12-24;54
67;waitress;waitress;8eba394ad75deaf9e5cd15b78a3d16b12e6b0eba;5;2019-12-19;47
68;waitress;waitress;f11093a6b3240fc26830b6111e826128af7771c3;5;2019-12-20;46
192;waitress;waitress;07e21576ef272a1bbd5410ef34f479e31ee68665;23;2016-01-03;823
204;waitress;waitress;7f4e0f7b9c14aba74dd1da7a030072d79ca99b6b;19;2016-06-24;807
48;webargs;webargs;74fada601a31b03dca0e4ae34c7d40246dcef598;1;2020-01-28;0
194;websocket-client;websocket-client;896e7c7317def65f7f8fb27a3eed807f2e1e5386;21;2015-09-21;766
138;websockets;websockets;b6a25ceb3555d0ba69e5961b8d7616e4c1aecb2b;8;2018-05-20;252
41;werkzeug;werkzeug;84eabcaa81f60d47939ac2d43f01d01eeab598a4;60;2008-06-24;2537
84;werkzeug;werkzeug;00bc43b1672e662e5e3b8cecd79e67fc968fa246;9;2019-05-14;156
181;werkzeug;werkzeug;1034edc7f901dd645ec6e462754111b39002bd65;23;2016-08-31;681
232;werkzeug;werkzeug;7b8d887d33c768a77f40dd15ff5ac6ebbbab25b9;47;2012-02-05;1704
