ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.4;2015-05-30;2017-11-29;909
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.5;2015-05-30;2017-11-30;910
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.6;2015-05-30;2017-12-04;914
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.7;2015-05-30;2017-12-27;937
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.8;2015-05-30;2018-01-16;961
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.9;2015-05-30;2018-01-17;962
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.0;2015-05-30;2018-02-12;987
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.0b0;2015-05-30;2018-02-08;983
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.0b1;2015-05-30;2018-02-08;983
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.0b2;2015-05-30;2018-02-08;983
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.0b3;2015-05-30;2018-02-08;983
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.0b4;2015-05-30;2018-02-09;984
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.1;2015-05-30;2018-02-12;987
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.2;2015-05-30;2018-02-23;998
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.3;2015-05-30;2018-02-25;1000
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.4;2015-05-30;2018-02-26;1001
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.5;2015-05-30;2018-02-27;1002
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.6;2015-05-30;2018-03-05;1010
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.7;2015-05-30;2018-03-08;1013
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.8;2015-05-30;2018-03-13;1018
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.0.9;2015-05-30;2018-03-14;1019
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.1.0;2015-05-30;2018-03-21;1026
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.1.1;2015-05-30;2018-03-27;1032
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.1.2;2015-05-30;2018-04-05;1040
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.1.3;2015-05-30;2018-04-13;1048
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.2.0;2015-05-30;2018-05-06;1071
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.2.1;2015-05-30;2018-05-10;1075
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.3.0;2015-05-30;2018-06-01;1096
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.3.1;2015-05-30;2018-06-05;1100
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.3.1b1;2015-05-30;2018-06-05;1100
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.3.2;2015-05-30;2018-06-13;1108
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.3.2a0;2015-05-30;2018-06-12;1107
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.0;2015-05-30;2018-08-25;1180
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.0a0;2015-05-30;2018-08-10;1165
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.0a1;2015-05-30;2018-08-19;1174
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.0a2;2015-05-30;2018-08-19;1174
