Package name;GitHub URL
pylev;https://github.com/toastdriven/pylev
brotli;https://github.com/google/brotli
torchvision;https://github.com/pytorch/vision
setuptools-git;https://github.com/msabramo/setuptools-git
jinja2-time;https://github.com/hackebrot/jinja2-time
bandit;https://github.com/pycqa/bandit
sentencepiece;https://github.com/google/sentencepiece
fbprophet;https://github.com/facebook/prophet
findspark;https://github.com/minrk/findspark
koalas;https://github.com/databricks/koalas
sshpubkeys;https://github.com/ojarva/python-sshpubkeys
cachy;https://github.com/sdispater/cachy
geojson;https://github.com/jazzband/geojson
zope-proxy;https://github.com/zopefoundation/zope.proxy
zope-hookable;https://github.com/zopefoundation/zope.hookable
uamqp;https://github.com/azure/azure-uamqp-python
mysql-python;https://github.com/farcepest/mysqldb1
multipledispatch;https://github.com/mrocklin/multipledispatch
qds-sdk;https://github.com/qubole/qds-sdk-py
hyperopt;https://github.com/hyperopt/hyperopt
cognite-sdk;https://github.com/cognitedata/cognite-sdk-python
zope-deferredimport;https://github.com/zopefoundation/zope.deferredimport
whichcraft;https://github.com/cookiecutter/whichcraft
multi-key-dict;https://github.com/formiaczek/multi_key_dict
tftpy;https://github.com/msoulier/tftpy
