package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
pysrt;343097;https://github.com/byroot/pysrt;229;20/01/2020;1;132;15;40;40;53;12;547;26
pydevd-pycharm;343079;https://github.com/JetBrains/intellij-community;10389;22/08/2020;2691;4;;;;;532;32;0
allennlp;342633;https://github.com/allenai/allennlp;8931;21/08/2020;57;31;89;1980;100;11;211;985;44
instaclone;342508;https://github.com/vivlabs/instaclone;48;15/11/2017;1;204;5;9;9;12;2;;
calmsize;342418;https://github.com/Stonesjtu/calmsize;0;28/05/2019;1;115;0;0;;;;;
django-splash;342392;https://github.com/edx/django-splash;2;29/06/2020;0;196;;;;;;;
flask-classful;342327;https://github.com/teracyhq/flask-classful;172;23/02/2020;6;131;13;55;54;98;;289;
bx-python;342190;https://github.com/bxlab/bx-python;93;18/06/2020;14;141;16;25;25;114;21;160;31
datetime-truncate;341781;https://github.com/mediapop/datetime_truncate;6;06/08/2020;0;1352;0;3;3;588;4;;
pytorch-memlab;341702;https://github.com/Stonesjtu/pytorch_memlab;396;18/08/2020;3;64;0;6;6;11;4;;
sphinx-click;341490;https://github.com/stephenfin/sphinx-click;129;2021-01-04;1;74;7;40;0;;17;;
flake8-rst-docstrings;341334;https://github.com/peterjc/flake8-rst-docstrings;20;11/08/2020;2;90;9;9;9;48;3;189;21
hyperas;340819;http://github.com/maxpumperla/hyperas;2017;13/12/2019;3;183;85;158;100;51;17;158;2
tabula-py;340717;https://github.com/chezou/tabula-py;1193;17/08/2020;6;57;1;195;100;7;14;;
geog;340639;https://github.com/jwass/geog;40;04/02/2016;0;1890;0;0;;;;24;
ddldump;340038;https://github.com/percolate/ddldump;27;19/03/2020;3;147;0;0;;;4;;
jupyter-kernel-gateway;339997;https://github.com/jupyter-incubator/kernel_gateway;333;2020-09-29;8;76;12;149;0;;32;;
ipcalc;339874;https://github.com/tehmaze/ipcalc;134;14/05/2019;1;322;5;23;;;12;;
symspellpy;339829;https://github.com/mammothb/symspellpy;356;28/04/2020;5;73;9;55;55;32;7;;
django-taggit-serializer;339625;https://github.com/glemmaPaul/django-taggit-serializer;147;20/06/2018;0;288;14;18;18;106;8;656;5
pyeapi;339481;https://github.com/arista-eosplus/pyeapi;103;01/06/2020;8;105;21;69;69;56;22;206;11
natto-py;338953;https://github.com/buruzaemon/natto-py;65;31/12/2019;7;183;2;48;48;37;3;85;
django-admin-sortable;338818;https://github.com/iambrandontaylor/django-admin-sortable;442;2020-12-09;5;;5;123;0;;58;418;18
cmreshandler;338306;https://github.com/cmanaha/python-elasticsearch-logger;164;01/11/2018;0;233;17;22;22;86;10;67;5
qualname;338192;https://github.com/wbolster/qualname;25;25/05/2020;0;1965;3;2;2;143;4;35;
pyscss;338021;http://github.com/Kronuz/pyScss;561;07/04/2020;11;183;105;204;100;170;44;1319;60
pyscaffold;337653;https://github.com/pyscaffold/pyscaffold;859;17/08/2020;18;14;8;184;100;80;30;;
django-parler;337191;https://github.com/edoburu/django-parler;456;2020-09-06;7;;58;115;0;;56;852;45
nameko;337160;http://github.com/nameko/nameko;3591;13/08/2020;28;26;58;170;100;86;40;546;72
flake8-junit-report;337153;https://github.com/initios/flake8-junit-report;13;10/08/2016;1;180;6;3;3;51;5;;
pytest-dotenv;337013;https://github.com/quiqua/pytest-dotenv;59;22/06/2020;0;171;0;8;8;92;6;162;6
pycosat;336990;https://github.com/ContinuumIO/pycosat;151;31/10/2017;1;301;17;10;10;220;8;15262;
tabulator;336917;https://github.com/frictionlessdata/tabulator-py;190;28/06/2020;10;12;13;165;100;115;23;362;25
pydeck;336502;https://github.com/visgl/deck.gl;7953;06/09/2020;58;4;243;1591;;;127;1081;59
sqlacodegen;336463;https://github.com/agronholm/sqlacodegen;525;13/07/2020;2;103;20;73;73;606;8;;
slugid;335705;https://github.com/taskcluster/slugid.py;1;2019-04-23;;;0;4;4;29;9;;
django-jsonview;335238;https://github.com/jsocol/django-jsonview;222;01/07/2020;1;152;6;14;14;82;11;249;
flanker;334758;https://github.com/mailgun/flanker;1415;16/03/2020;4;23;49;36;;;44;;
bbcode;334733;https://github.com/dcwatson/bbcode;56;27/12/2019;1;;0;26;26;105;5;;
grpclib;334593;https://github.com/vmagamedov/grpclib;559;27/07/2020;8;32;8;86;86;46;11;;
psycopg2-pool;334375;https://github.com/Changaco/psycopg2-pool;3;08/10/2019;1;165;0;0;;;;;
jsonmatch;334103;https://github.com/percolate/jsonmatch;14;27/06/2019;0;1414;1;1;1;2;6;;
fuzzyset;333719;https://github.com/axiak/fuzzyset;170;24/01/2019;0;3130;7;12;12;361;4;46;
pyuca;333247;http://github.com/jtauber/pyuca;168;20/10/2019;1;596;5;5;5;81;5;350;9
aws-configure;332361;https://github.com/qoomon/aws-configure;1;21/02/2020;2;170;0;0;;;;;
cloudfoundry-client;332329;https://github.com/antechrestos/cf-python-client;39;2021-02-20;4;;7;56;0;;15;41;0
shadowsocks;332298;https://github.com/shadowsocks/shadowsocks;32754;22/08/2015;0;169;;;;;;;
sphinx-copybutton;332237;https://github.com/executablebookproject/sphinx-copybutton;95;2020-12-28;5;192;21;35;0;;16;;
python-saml;331879;https://github.com/onelogin/python-saml;514;12/03/2020;3;132;12;168;100;59;38;372;7
lorem;331440;https://github.com/sfischer13/python-lorem;14;05/06/2017;0;1538;0;0;;;;234;
dynamodb-encryption-sdk;331082;https://github.com/aws/aws-dynamodb-encryption-python;50;10/10/2019;10;355;23;16;16;44;8;5;0
cfscrape;330844;https://github.com/Anorov/cloudflare-scrape;2080;23/03/2020;1;209;56;272;100;19;23;1780;48
pyexcelerate;330811;https://github.com/kz26/PyExcelerate;371;18/07/2020;4;335;10;56;56;78;14;135;
pytorch-lightning;330413;https://github.com/PyTorchLightning/pytorch-lightning;7518;22/08/2020;172;10;269;1328;100;2;253;650;30
style;329927;https://github.com/lmittmann/style;6;08/03/2019;0;1317;0;2;2;274;;;
pyvisa;329833;https://github.com/pyvisa/pyvisa;433;21/08/2020;14;197;76;357;100;57;41;;
django-prettyjson;329828;https://github.com/kevinmickey/django-prettyjson;106;07/08/2018;1;155;6;10;10;113;6;;1
bpemb;329404;https://github.com/bheinzerling/bpemb;893;2020-10-18;;;3;;45;69;;;
keras-tuner;329378;https://github.com/keras-team/keras-tuner;2246;2021-02-24;;;;;100;39;;;
pyangbind;329377;https://github.com/robshakir/pyangbind;140;24/08/2018;5;92;69;92;92;37;16;93;5
spark-parser;329259;https://github.com/rocky/python-spark;31;06/07/2020;4;31;5;4;4;8;2;;
linear-tsv;328822;https://github.com/solidsnack/tsv;6;20/01/2018;0;604;0;6;6;94;4;;
pip-review;328773;https://github.com/jgonggrijp/pip-review;299;09/04/2020;5;98;11;49;47;134;;;
colcon-notification;328770;https://github.com/colcon/colcon-notification;1;2020-10-06;1;;1;8;8;6;5;;
sqlalchemy-views;328384;https://github.com/jklukas/sqlalchemy-views;31;24/06/2020;0;;3;3;2;0;5;;
fakenewsredis;328127;https://github.com/ska-sa/fakenewsredis;3;20/02/2018;14;44;0;5;5;14;;;
pyinstrument;328085;https://github.com/joerick/pyinstrument;1713;21/08/2020;4;65;16;45;45;199;20;139;15
edx-milestones;327978;https://github.com/edx/edx-milestones;3;18/06/2020;2;110;0;0;;;21;61;0
yellowbrick;327721;https://github.com/DistrictDataLabs/yellowbrick;2851;06/08/2020;16;81;73;486;100;54;91;;
rply;327643;https://github.com/alex/rply;326;05/08/2020;2;246;17;29;29;66;22;368;21
smdebug;327582;https://github.com/awslabs/sagemaker-debugger;50;19/08/2020;67;15;40;27;27;24;15;23;0
trio;327557;https://github.com/python-trio/trio;3355;21/08/2020;81;73;225;358;100;66;94;462;119
colcon-bash;327356;https://github.com/colcon/colcon-bash;2;2020-10-23;1;;0;1;1;1;2;;
zstd;327210;https://github.com/sergey-dryabzhinsky/python-zstd;75;28/05/2020;2;47;0;31;30;62;4;;
ryu;326961;https://github.com/osrg/ryu;1196;2021-02-22;30;;12;17;0;;97;340;9
faust;326931;https://github.com/robinhood/faust;4817;29/04/2020;99;9;159;210;100;23;72;436;12
aioamqp;326629;https://github.com/polyconseil/aioamqp;235;05/03/2020;5;113;22;72;70;182;39;;
cornice;326363;https://github.com/mozilla-services/cornice;365;2021-02-18;9;62;42;187;0;;92;588;43
pydomo;326035;https://github.com/domoinc/domo-python-sdk;57;06/11/2019;1;243;4;35;35;123;7;;
bfh;325966;https://github.com/percolate/bfh;12;23/05/2018;2;142;0;0;;;7;;
pypowervm;325944;https://github.com/pypowervm/pypowervm;22;29/11/2019;20;60;3;6;0;;28;;
uncompyle6;325894;https://github.com/rocky/python-uncompyle6;1855;10/09/2020;52;11;33;186;100;44;21;;
redset;325581;https://github.com/percolate/redset;68;01/04/2015;1;513;0;1;1;37;5;;
snakeviz;325502;https://github.com/jiffyclub/snakeviz;1286;27/04/2020;3;199;28;82;82;227;19;500;25
sdic;325442;https://github.com/percolate/sdic;7;09/04/2018;0;;1;0;;;2;;
mozilla-django-oidc;324852;https://github.com/mozilla/mozilla-django-oidc;157;19/08/2020;8;52;33;121;100;100;30;140;5
pgpy;324806;https://github.com/SecurityInnovation/PGPy;182;28/07/2020;13;177;73;169;100;76;20;;
flexmock;324051;https://github.com/bkabrda/flexmock;44;27/01/2020;7;48;17;11;11;66;;;
flask-restful-swagger;323930;https://github.com/rantav/flask-restful-swagger;616;29/05/2020;2;107;48;39;39;63;23;;
amazon-kclpy;323816;https://github.com/awslabs/amazon-kinesis-client-python;290;30/07/2019;0;193;44;29;27;110;11;;
djangocms-attributes-field;323692;https://github.com/divio/djangocms-attributes-field;16;2020-09-02;1;;0;7;0;;11;;
sphinx-tabs;323593;https://github.com/executablebooks/sphinx-tabs;109;20/08/2020;3;59;15;43;42;57;12;698;20
edx-sga;322758;https://github.com/mitodl/edx-sga;29;12/08/2020;3;102;45;75;75;164;;;
textract;322620;https://github.com/deanmalmgren/textract;2855;14/11/2019;7;149;65;121;100;214;26;;
emcee;322569;https://github.com/dfm/emcee;1062;20/08/2020;7;291;23;195;100;99;49;591;108
meinheld;322455;https://github.com/mopemope/meinheld;1297;23/06/2020;5;102;19;49;48;393;17;455;9
ulid-py;322230;https://github.com/ahawker/ulid;182;17/08/2020;12;78;2;28;28;46;4;73;
pytelegraf;322085;https://github.com/paksu/pytelegraf;69;13/04/2018;0;;4;2;2;90;3;;
django-url-filter;321730;https://github.com/miki725/django-url-filter;240;10/02/2020;3;121;28;33;33;128;11;258;5
nose-detecthttp;321634;https://github.com/venmo/nose-detecthttp;7;04/04/2019;0;351;4;2;2;518;3;;
timezonefinderl;321468;https://github.com/mrminimal64/timezonefinderl;9;2020-05-14;0;;0;1;0;;;;
colcon-common-extensions;321238;https://github.com/colcon/colcon-common-extensions;2;2020-10-06;0;;0;3;3;0;;;
colcon-devtools;320949;https://github.com/colcon/colcon-devtools;1;2020-10-06;0;;0;0;;;;;
python-owasp-zap-v2-4;320947;https://github.com/zaproxy/zap-api-python;91;14/02/2020;1;160;;;;;10;;
pydoe;320793;https://github.com/tisimst/pyDOE;135;25/04/2017;0;;13;6;6;11;2;221;32
python-graph-core;320720;https://github.com/pmatiello/python-graph;251;29/01/2018;8;663;;;;;;99;14
pypubsub;320566;https://github.com/schollii/pypubsub;121;01/04/2019;1;573;7;28;28;68;6;508;
azure-storage-logging;320374;https://github.com/michiya/azure-storage-logging;17;09/10/2016;0;244;3;2;2;15;2;10;
teradatasql;320196;https://github.com/teradata/python-driver;25;26/08/2020;2;;;;;;;;
pyexcel-webio;319989;https://github.com/pyexcel/pyexcel-webio;9;2020-10-12;;;0;;0;;;;
optunity;319906;https://github.com/claesenm/optunity;363;2020-05-11;;;;;48;54;;;
scrapy-fake-useragent;319796;https://github.com/alecxe/scrapy-fake-useragent;515;2020-09-17;;;;;21;185;;;
python-keycloak-client;319634;https://github.com/peter-slump/python-keycloak-client;48;2020-06-03;4;101;12;6;6;60;10;80;3
behave-django;319596;https://github.com/behave/behave-django;145;03/08/2020;6;89;11;45;45;132;13;312;
wiremock;319226;https://github.com/platinummonkey/python-wiremock;13;11/06/2020;1;1243;1;15;15;16;5;;
pyllist;319212;https://github.com/rgsoda/pypy-llist;27;20/05/2020;0;793;0;5;5;3;3;11;2
virtualenvwrapper-win;319030;https://github.com/davidmarble/virtualenvwrapper-win;406;16/02/2020;1;881;16;64;64;193;17;3671;0
web-fragments;319026;https://github.com/edx/web-fragments;4;26/06/2020;0;169;0;0;;;10;;
claw;318391;https://github.com/tictail/claw;17;16/09/2015;1;365;;;;;;;
pygtail;318224;http://github.com/bgreenlee/pygtail;194;14/10/2019;0;1115;15;8;8;84;15;105;15
django-pyfs;318207;https://github.com/edx/django-pyfs;1;06/07/2020;0;256;;;;;;;
django-mock-queries;317957;https://github.com/stphivos/django-mock-queries;157;07/07/2020;4;89;7;16;16;7;18;;
flake8-future-import;317955;https://github.com/xZise/flake8-future-import;18;06/08/2019;1;141;7;7;7;33;6;;
pyqt5-tools;317776;https://github.com/altendky/pyqt5-tools;138;2021-01-29;18;27;15;43;0;;;;
inflector;317455;https://github.com/ixmatus/inflector;14;29/10/2019;0;;2;3;3;577;6;;
taskcluster-urls;317265;https://github.com/taskcluster/taskcluster-lib-urls;0;18/08/2020;5;64;2;5;5;160;10;;
snaptime;317196;https://github.com/zartstrom/snaptime;9;15/06/2017;0;;1;0;;;;;
wsgi-intercept;317181;http://github.com/cdent/wsgi-intercept;33;05/02/2020;2;80;4;22;22;36;12;;
django-push-notifications;317165;https://github.com/jazzband/django-push-notifications;1617;24/07/2020;4;169;103;249;100;90;71;;
business-duration;316235;https://github.com/gnaneshwar441/Business_Duration;8;02/04/2020;0;;0;4;4;40;;;
quinn;315975;https://github.com/mrpowers/quinn;164;29/07/2020;2;1090;17;6;;;5;;
json-logging;315967;https://github.com/thangbn/json-logging;135;2020-11-08;2;46;6;37;0;;13;134;9
constructs;315273;https://github.com/aws/constructs;43;19/08/2020;9;11;3;3;3;6;13;1725;261
flask-injector;315204;https://github.com/alecthomas/flask_injector;204;22/02/2020;1;123;8;31;31;76;9;412;9
taskcluster;314659;https://github.com/taskcluster/taskcluster;107;22/08/2020;869;5;153;629;100;10;170;120;24
plaidml;314578;https://github.com/plaidml/plaidml;3661;09/04/2020;31;93;203;245;;;31;;
