package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
h5py;69335718;https://github.com/h5py/h5py;1494;2021-03-17;35;91;191;972;100;18;150;104420;2219
google-auth-httplib2;126904765;https://github.com/googleapis/google-auth-library-python-httplib2;10;2021-03-01;0;720;0;4;4;23;10;;
google-cloud-bigquery;104640351;https://github.com/googleapis/python-bigquery;177;2021-03-22;75;6;39;196;100;15;88;6793;237
gitpython;79652353;https://github.com/gitpython-developers/gitpython;3034;2021-03-19;18;50;116;625;100;108;192;31034;1776
dill;58226803;https://github.com/uqfoundation/dill;1341;2021-03-14;8;141;130;202;100;78;25;;
pathlib2;57675211;https://github.com/mcmtroffaes/pathlib2;63;2020-01-07;5;;0;29;29;76;11;;
toml;127424869;https://github.com/uiri/toml;714;2020-11-01;3;;68;158;100;62;50;104576;1697
multidict;141929304;https://github.com/aio-libs/multidict;225;2021-03-22;14;15;8;113;100;94;37;;
contextlib2;67030213;https://github.com/jazzband/contextlib2;30;2020-11-30;2;;3;10;10;85;10;;
isort;77565507;https://github.com/pycqa/isort;3758;2021-03-21;39;20;21;905;100;13;209;159017;2047
funcsigs;42034499;https://github.com/testing-cabal/funcsigs;6;2021-03-09;1;;9;7;7;329;;;
sqlparse;74404115;https://github.com/andialbrecht/sqlparse;2367;2020-12-12;10;;166;263;100;88;74;;
pymongo;65998438;https://github.com/mongodb/mongo-python-driver;3259;2021-03-20;32;34;;;;;116;88262;1992
mistune;90154753;https://github.com/lepture/mistune;1926;2021-03-07;4;99;18;188;100;91;31;98325;336
docopt;51534939;https://github.com/docopt/docopt;7320;2018-08-24;4;;215;171;100;86;28;43295;2502
jupyter-client;89399956;https://github.com/jupyter/jupyter_client;211;2021-03-18;26;;113;144;100;76;122;;
nbconvert;90019512;https://github.com/jupyter/nbconvert;1085;2021-02-18;51;63;340;515;100;22;216;94299;533
requests-toolbelt;70081234;https://github.com/requests/toolbelt;750;2021-01-11;6;;54;94;93;47;53;24226;865
notebook;86799984;https://github.com/jupyter/notebook;8109;2021-03-22;169;32;2000;2208;100;7;507;95567;621
testpath;87175879;https://github.com/jupyter/testpath;18;2019-11-04;0;;1;9;9;48;8;;
pandocfilters;87387328;https://github.com/jgm/pandocfilters;369;2020-10-23;1;;8;26;26;82;29;86341;146
pyarrow;93830692;https://github.com/apache/arrow;7580;2021-03-22;143;;3;574;100;4;551;33;4
terminado;85064129;https://github.com/jupyter/terminado;271;2021-03-16;4;112;20;28;28;86;19;;
send2trash;84722287;https://github.com/arsenetar/send2trash;171;2021-01-29;1;;19;16;16;206;11;74612;156
oauth2client;71214617;https://github.com/googleapis/oauth2client;771;2018-09-07;16;86;1;303;100;227;72;36998;693
babel;95496589;https://github.com/python-babel/babel;968;2020-12-04;15;134;130;254;100;101;108;;
pytest-cov;57317830;https://github.com/pytest-dev/pytest-cov;985;2021-03-04;9;;84;190;100;51;56;72771;8446
azure-storage-common;55765774;https://github.com/azure/azure-storage-python;310;2020-07-28;8;35;58;301;100;33;37;2559;37
retrying;62273593;https://github.com/rholder/retrying;1664;2016-06-07;0;;31;12;12;96;12;;
jedi;84920522;https://github.com/davidhalter/jedi;4793;2021-02-26;75;;19;1199;100;11;126;119906;304
aiohttp;118419375;https://github.com/aio-libs/aiohttp;10974;2021-03-21;81;12;297;2054;100;18;545;76246;3789
scandir;45391853;https://github.com/benhoyt/scandir;471;2021-02-27;4;239;10;80;78;67;18;11645;147
parso;84751794;https://github.com/davidhalter/parso;389;2021-03-08;23;;7;86;86;30;38;114428;244
astroid;54627176;https://github.com/pycqa/astroid;311;2021-03-13;47;19;123;466;100;58;115;142182;362
gast;57740565;https://github.com/serge-sans-paille/gast;104;2020-11-26;1;;0;21;20;44;10;50090;181
async-timeout;98528979;https://github.com/aio-libs/async-timeout;306;2021-03-22;3;118;2;27;27;47;14;46782;390
pylint;53331178;https://github.com/pycqa/pylint;3250;2021-03-21;82;;680;2611;100;13;320;183399;2590
keras-preprocessing;53923324;https://github.com/keras-team/keras-preprocessing;922;2021-02-04;8;85;70;99;99;54;47;;
yarl;123720307;https://github.com/aio-libs/yarl;617;2021-02-22;15;18;22;146;100;87;54;;
adal;70219852;https://github.com/azuread/azure-activedirectory-library-for-python;214;2021-01-22;5;79;5;88;88;124;26;2953;84
networkx;62050018;https://github.com/networkx/networkx;8814;2021-03-18;51;63;155;2322;100;14;458;66774;2746
zope-interface;54009645;https://github.com/zopefoundation/zope.interface;241;2021-03-21;;;14;92;92;280;52;;
django;51448824;https://github.com/django/django;56347;2021-03-22;274;;;;;;2033;621703;9794
ujson;83036069;https://github.com/ultrajson/ultrajson;3183;2021-03-06;5;282;41;255;100;279;54;20556;941
py4j;76062400;https://github.com/bartdag/py4j;809;2021-02-27;6;;123;242;100;43;25;5202;105
keras-applications;38881494;https://github.com/keras-team/keras-applications;1795;2020-04-01;2;114;60;99;99;41;12;;
pymysql;55918280;https://github.com/pymysql/pymysql;6359;2021-02-02;8;;16;543;100;10;98;76521;1276
datadog;53502611;https://github.com/datadog/datadogpy;428;2021-03-04;9;44;9;193;100;139;136;1973;92
cloudpickle;60754193;https://github.com/cloudpipe/cloudpickle;907;2021-03-02;5;58;50;132;100;76;44;33158;421
qtconsole;69993475;https://github.com/jupyter/qtconsole;252;2021-03-16;24;;87;184;100;47;116;72111;109
dnspython;95942438;https://github.com/rthalley/dnspython;1689;2021-03-16;15;;6;332;100;13;73;46602;659
mako;58943058;https://github.com/sqlalchemy/mako;129;2021-01-14;30;14;61;247;100;111;43;;
jupyter;69123314;https://github.com/jupyter/jupyter;11938;2021-02-28;9;;176;171;100;29;64;100795;1126
tensorflow-metadata;75313567;https://github.com/tensorflow/metadata;62;2021-03-19;2;64;6;4;4;55;3;2238;16
xlrd;60368690;https://github.com/python-excel/xlrd;1872;2020-12-12;4;;;;;;42;65135;1541
pycrypto;37276522;https://github.com/pycrypto/pycrypto;2263;2014-06-20;7;;150;24;24;169;25;54942;1263
astor;35556236;https://github.com/berkerpeksag/astor;566;2021-03-15;2;;23;71;71;228;28;;
backcall;81087422;https://github.com/takluyver/backcall;11;2020-06-09;0;;1;6;6;133;2;;
backports-functools-lru-cache;35864482;https://github.com/jaraco/backports.functools_lru_cache;33;2019-11-02;;;1;10;10;85;6;;
cython;76966225;https://github.com/cython/cython;5930;2021-03-21;131;;848;1671;100;5;351;70702;2346
azure-devops;65036929;https://github.com/microsoft/azure-devops-python-api;258;2020-08-15;8;29;47;131;100;24;10;;
pycryptodomex;51221901;https://github.com/legrandin/pycryptodome;1526;2021-03-17;30;;43;348;100;26;64;22765;1171
msgpack;69774427;https://github.com/msgpack/msgpack-python;1408;2021-03-18;7;;4;224;100;35;56;37048;646
greenlet;37121334;https://github.com/python-greenlet/greenlet;1227;2021-01-18;5;;11;121;100;142;51;;
smart-open;74990271;https://github.com/rare-technologies/smart_open;1975;2021-03-19;12;54;49;244;100;71;68;;
xmltodict;49188557;https://github.com/martinblech/xmltodict;4315;2020-04-24;1;;55;136;100;61;37;21585;1068
google-pasta;43967639;https://github.com/google/pasta;233;2021-01-20;3;;6;36;36;83;10;32593;101
backports-shutil-get-terminal-size;31796618;https://github.com/chrippa/backports.shutil_get_terminal_size;9;2016-02-21;;;3;6;6;136;3;;
google-cloud-logging;68563963;https://github.com/googleapis/python-logging;28;2021-03-19;29;15;36;55;55;106;53;;
elasticsearch;54903151;https://github.com/elastic/elasticsearch-py;3135;2021-03-18;13;39;58;788;100;22;159;19872;724
tensorflow-transform;66408761;https://github.com/tensorflow/transform;860;2021-03-18;12;53;35;120;100;70;25;416;7
python-editor;50461779;https://github.com/fmoo/python-editor;62;2019-05-03;0;;6;10;10;197;8;57741;93
ansible;42108019;https://github.com/ansible/ansible;47294;2021-03-20;474;;1300;27685;100;1;5000;15797;313
gitdb2;17651836;https://github.com/gitpython-developers/gitdb;119;2021-01-21;2;;7;25;25;103;18;8607;74
tzlocal;88863004;https://github.com/regebro/tzlocal;129;2020-09-30;1;;4;49;48;100;18;;
msrestazure;54290508;https://github.com/azure/msrestazure-for-python;16;2020-12-30;4;;7;64;64;143;16;;
distro;56943349;https://github.com/nir0s/distro;158;2020-12-08;4;114;29;99;99;74;23;12433;235
importlib-resources;64311271;https://github.com/python/importlib_resources;7;2021-03-04;95;4;6;193;100;1;14;;
grpc-google-iam-v1;28408765;https://github.com/googleapis/googleapis;3348;2021-03-19;47;;;;;;45;;
jsonpickle;42120519;https://github.com/jsonpickle/jsonpickle;898;2021-02-18;8;;58;182;100;131;49;;
backports-abc;31148923;https://github.com/cython/backports_abc;5;2016-11-12;0;;0;5;5;1;3;;
functools32;23296157;https://github.com/michilu/python-functools32;51;2015-07-11;0;;5;2;2;400;2;;
ruamel-yaml;48753306;https://github.com/commx/ruamel-yaml;3;2021-03-05;57;;;;;;18;;
pyspark;64091685;https://github.com/apache/spark;29127;2021-03-22;348;;;;;;1632;576;0
websockets;74700670;https://github.com/aaugustin/websockets;3247;2021-01-01;8;;59;626;100;10;43;29892;833
nltk;49450080;https://github.com/nltk/nltk;9723;2021-03-22;101;;231;1229;100;48;331;91567;1362
gevent;30995787;https://github.com/gevent/gevent;5446;2021-01-22;55;33;45;1145;100;22;87;57826;1293
gensim;66794154;https://github.com/rare-technologies/gensim;11836;2021-03-22;34;56;316;1277;100;20;368;21228;492
cached-property;46124025;https://github.com/pydanny/cached-property;577;2020-10-21;2;147;25;24;22;530;19;11891;490
s3fs;49231495;https://github.com/dask/s3fs;397;2021-03-17;11;;53;185;100;40;55;2702;191
monotonic;31708760;https://github.com/atdt/monotonic;63;2021-01-07;0;192;0;14;14;58;14;;
singledispatch;40397562;https://github.com/jaraco/singledispatch;0;2021-02-25;62;4;0;2;2;1;5;;
smmap2;11957273;https://github.com/gitpython-developers/smmap;49;2021-01-24;1;;3;15;14;170;14;8540;58
