package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
ipywidgets;56094070;;;;;;;;;;;;;https://libraries.io/pypi/ipywidgets;15;159;7470
aiohttp;55845371;https://github.com/aio-libs/aiohttp;10092;2020-07-08;84;11;347;1867;100;9;494;48803;2891;https://libraries.io/pypi/aiohttp;24;958;7360
scandir;55704225;https://github.com/benhoyt/scandir;461;2020-07-20;5;221;9;79;77;67;18;;;https://libraries.io/pypi/scandir;19;41;1810
parso;55621043;https://github.com/davidhalter/parso;332;2020-08-04;26;;3;70;69;34;32;78918;191;https://libraries.io/pypi/parso;21;51;5680
astroid;55472730;https://github.com/PyCQA/astroid;286;2020-06-22;49;17;123;427;100;31;100;102430;303;https://libraries.io/pypi/astroid;20;67;10200
gast;54123803;;;;;;;;;;;;;https://libraries.io/pypi/gast;16;10;1690
async-timeout;53613556;;;;;;;;;;;;;https://libraries.io/pypi/async-timeout;15;11;146
pylint;53578898;https://github.com/PyCQA/pylint;2964;2020-08-21;84;;595;2393;100;8;287;132144;2076;https://libraries.io/pypi/pylint;21;135;18900
keras-preprocessing;53518670;https://github.com/keras-team/keras-preprocessing;830;2020-06-29;10;81;67;90;90;43;42;;;https://libraries.io/pypi/Keras-Preprocessing;17;0;1370
adal;53323241;https://github.com/AzureAD/azure-activedirectory-library-for-python;195;2020-06-22;6;77;8;82;81;103;25;2026;69;https://libraries.io/pypi/adal;19;42;289
networkx;53161740;https://github.com/networkx/networkx;7768;2020-08-21;51;60;117;2197;100;24;418;49600;2186;https://libraries.io/pypi/networkx;24;488;10400
zope-interface;53099848;https://github.com/zopefoundation/zope.interface;216;2020-04-23;;;13;81;81;314;47;;;https://libraries.io/pypi/zope.interface;20;272;10200
django;52846760;https://github.com/django/django;51482;2020-08-21;286;;;;;;2021;471252;9004;https://libraries.io/pypi/Django;28;2540;115000
typing-extensions;52577770;;;;;;;;;;;;;https://libraries.io/pypi/typing-extensions;22;489;938
ujson;52463539;https://github.com/ultrajson/ultrajson;2918;2020-08-01;4;384;35;243;100;279;46;13687;767;https://libraries.io/pypi/ujson;15;249;3280
py4j;51856137;;;;;;;;;;;;;https://libraries.io/pypi/py4j;18;39;541
keras-applications;50268361;https://github.com/keras-team/keras-applications;1642;2020-04-01;3;90;52;98;98;41;12;;;https://libraries.io/pypi/Keras-Applications;16;1;1360
pymysql;50175193;;;;;;;;;;;;;https://libraries.io/pypi/PyMySQL;23;405;9210
datadog;50150130;https://github.com/DataDog/datadogpy;381;2020-08-17;10;42;8;177;100;221;129;1393;82;https://libraries.io/pypi/datadog;17;30;628
cloudpickle;49810089;https://github.com/cloudpipe/cloudpickle;782;2020-08-13;5;54;43;126;100;101;42;24176;325;https://libraries.io/pypi/cloudpickle;21;88;2050
qtconsole;49723291;;;;;;;;;;;;;https://libraries.io/pypi/qtconsole;14;8;6180
ordereddict;49614697;;;;;;;;;;;;;https://libraries.io/pypi/ordereddict;10;20;5130
jupyter-console;49495058;;;;;;;;;;;;;https://libraries.io/pypi/jupyter-console;5;1;0
dnspython;49238419;;;;;;;;;;;;;https://libraries.io/pypi/dnspython;15;218;3900
mako;49103410;https://github.com/sqlalchemy/mako;99;2020-08-07;40;10;59;247;100;111;41;;;https://libraries.io/pypi/Mako;21;159;13700
jupyter;48731515;;;;;;;;;;;;;https://libraries.io/pypi/jupyter;14;92;10200
tensorflow-metadata;48729574;https://github.com/tensorflow/metadata;54;2020-08-19;2;71;3;4;4;55;;;;https://libraries.io/pypi/tensorflow-metadata;8;3;32
xlrd;48425932;;;;;;;;;;;;;https://libraries.io/pypi/xlrd;14;266;6790
distlib;48206064;;;;;;;;;;;;;https://libraries.io/pypi/distlib;12;28;276
pycrypto;48107924;;;;;;;;;;;;;https://libraries.io/pypi/pycrypto;16;395;15400
