package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;vulns;license
intervaltree;3421882;https://github.com/chaimleib/intervaltree;403;2020-11-20;6;121;20;48;48;175;14;5996;157;0;Apache-2.0 License
autobahn;3420905;https://github.com/crossbario/autobahn-python;2262;2021-03-18;27;;171;643;100;25;113;11860;197;2;MIT License
aws-requests-auth;3420785;https://github.com/davidmuller/aws-requests-auth;357;2020-05-28;1;;6;20;19;6;12;493;36;0;License not permissive (text)
ansible-lint;3420686;https://github.com/ansible-community/ansible-lint;2419;2021-03-19;14;29;26;530;100;18;137;;;0;MIT License
pdfminer;3408873;https://github.com/euske/pdfminer;4533;2020-01-18;4;;185;40;40;189;20;1934;182;0;MIT License
pillow-simd;3405018;https://github.com/uploadcare/pillow-simd;1561;2020-06-02;125;;10;54;54;65;;352;25;0;License not permissive (text)
schedule;3394661;https://github.com/dbader/schedule;8424;2021-03-04;3;;90;219;100;192;44;10274;218;0;MIT License
openapi-codec;3394199;https://github.com/core-api/python-openapi-codec;33;2017-07-19;1;;12;9;9;13;5;;;0;License not permissive (text)
sqlalchemy-redshift;3380327;https://github.com/sqlalchemy-redshift/sqlalchemy-redshift;138;2021-01-08;4;;30;52;52;97;38;268;22;0;MIT License
pastedeploy;3378991;https://github.com/pylons/pastedeploy;14;2020-10-12;10;;2;13;13;4;18;4472;179;0;MIT License
diff-match-patch;3359655;https://github.com/diff-match-patch-python/diff-match-patch;18;2020-07-13;1;;0;1;1;0;;;;0;Apache-2.0 License
immutables;3353622;https://github.com/magicstack/immutables;823;2021-02-09;2;77;8;22;21;63;10;1529;33;0;Apache-2.0 License
pefile;3339681;https://github.com/erocarrera/pefile;1151;2021-01-21;6;74;63;134;100;136;44;10741;112;0;MIT License
blessed;3333783;https://github.com/jquast/blessed;598;2021-03-06;9;54;13;97;95;275;;4061;117;0;MIT License
mpi4py;3330525;https://github.com/mpi4py/mpi4py;389;2021-03-20;24;229;6;11;11;2;14;;;0;License not permissive (text)
tribool;3324254;https://github.com/grantjenks/python-tribool;15;2016-04-03;0;;0;2;2;0;2;;;0;Apache License (text)
social-auth-app-django;3302951;https://github.com/python-social-auth/social-app-django;1474;2021-03-02;40;;109;118;100;87;278;11906;69;0;License not permissive (text)
scramp;3288779;https://github.com/tlocke/scramp;7;2021-02-13;0;;1;2;2;53;2;;;0;MIT License
sgp4;3258300;https://github.com/brandon-rhodes/python-sgp4;204;2021-03-08;3;;0;56;54;160;12;225;22;0;MIT License
colorlover;3249904;https://github.com/plotly/colorlover;138;2019-01-19;0;;7;12;12;391;5;2861;44;0;MIT License (text)
timezonefinder;3246150;https://github.com/jannikmi/timezonefinder;244;2021-02-08;5;;2;71;71;77;9;;;0;MIT License
orderedset;3246028;https://github.com/simonpercivall/orderedset;60;2020-02-26;0;;9;12;12;11;5;;;0;Python Software Foundation (text)
safety;3237528;https://github.com/pyupio/safety;982;2021-02-19;6;41;35;68;68;167;31;1675;68;0;MIT License
langid;3235918;https://github.com/saffsd/langid.py;1754;2017-07-15;;;25;45;42;109;6;599;43;0;License not permissive (text)
astral;3233856;https://github.com/sffjunkie/astral;110;2021-03-14;17;99;24;24;24;118;8;;;0;Apache-2.0 License
jplephem;3212087;https://github.com/iodide-project/pyodide;4901;2021-03-22;36;27;228;362;100;14;70;;;0;MPL-2.0 License
branca;3202042;https://github.com/python-visualization/branca;68;2020-11-08;2;207;8;19;19;97;14;;;0;MIT License
django-js-asset;3194688;https://github.com/matthiask/django-js-asset;11;2021-03-09;1;;0;3;3;1;3;;;0;BSD-3-Clause License
rjsmin;3191972;https://github.com/ndparker/rjsmin;34;2019-09-14;1;;5;13;13;290;;;;0;Apache-2.0 License
dparse;3188663;https://github.com/pyupio/dparse;35;2020-04-26;1;;13;16;16;171;10;;;0;MIT License
orderedmultidict;3186097;https://github.com/gruns/orderedmultidict;51;2020-03-10;1;;3;12;12;41;7;;;0;License not permissive (text)
pysqlite;3184627;https://github.com/ghaering/pysqlite;351;2018-08-23;5;;4;124;100;321;5;;;0;License not permissive (text)
asynctest;3178330;https://github.com/martiusweb/asynctest;280;2019-11-13;3;;36;63;63;99;12;;;0;Apache-2.0 License
snowflake-sqlalchemy;3169654;https://github.com/snowflakedb/snowflake-sqlalchemy;84;2021-03-12;3;54;45;58;58;34;20;332;49;0;Apache-2.0 License
txaio;3168889;https://github.com/crossbario/txaio;54;2021-02-20;5;;15;48;48;79;12;;;0;MIT License
pytesseract;3167734;https://github.com/madmaze/pytesseract;3474;2021-03-15;2;152;6;246;100;5;35;;;0;Apache-2.0 License
sacremoses;3155356;https://github.com/alvations/sacremoses;293;2020-06-22;8;;22;40;40;40;10;3763;42;0;MIT License
skyfield;3151760;https://github.com/skyfielders/python-skyfield;646;2021-03-21;20;;46;393;100;11;42;258;25;0;MIT License
pytest-env;3139433;https://github.com/mobiledynasty/pytest-env;139;2017-06-16;0;;7;2;2;115;5;1437;126;0;MIT License
collectd-nvidianvml;3138289;https://github.com/cvisionlabops/collectd-nvidianvml;1;2017-04-13;0;;0;0;;;;;;0;GPL-3.0 License
naked;3134580;https://github.com/chrissimpkins/naked;111;2019-03-29;4;;4;8;8;101;3;;;0;License not found
pytest-instafail;3133730;https://github.com/pytest-dev/pytest-instafail;86;2020-06-14;0;;3;7;7;50;7;10325;35;0;License not permissive (text)
tensorboardx;3124053;https://github.com/lanpa/tensorboardx;6861;2021-03-13;10;125;56;349;100;53;64;10614;199;0;MIT License
folium;3110760;https://github.com/python-visualization/folium;5196;2021-03-09;15;136;130;692;100;22;117;8909;126;0;MIT License
nose-timer;3109473;https://github.com/mahmoudimus/nose-timer;117;2021-03-09;1;;1;38;38;158;21;986;59;0;MIT License
resampy;3100042;https://github.com/bmcfee/resampy;155;2019-08-16;2;100;11;41;41;60;5;;;0;ISC License
skyfield-data;3099270;https://github.com/brunobord/skyfield-data;5;2020-12-18;2;75;0;6;6;12;;;;0;MIT License
