Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position;Final URL;Occ. final URL;Second URL;Occ. second URL;Third URL;Occ. third URL;URLs similarity;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Final URL position;Real URL;Confidence;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Real URL position
pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;;;0/6;Equal;858/1472;True;95.4%;HTML (2.5%) - C (2.0%) - Shell (0.1%) - Smarty (0.0%) - Dockerfile (0.0%);TP;https://github.com/pandas-dev/pandas;5;;0;;0;Equal;;;;;;;;https://github.com/pandas-dev/pandas;74%;0/6;Equal;858/1472;True;95.4%;HTML (2.5%) - C (2.0%) - Shell (0.1%) - Smarty (0.0%) - Dockerfile (0.0%);TP
pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing;0/9;Equal;10/1463;False;99.8%;Other (0.2%);TP(?);https://github.com/pyparsing/pyparsing;5;;0;;0;Equal;;;;;;;;https://github.com/pyparsing/pyparsing;77%;0/9;Equal;10/1463;False;99.8%;Other (0.2%);TP(?)
cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;0/10;Equal;23/1458;True;100.0%;;TP;https://github.com/tkem/cachetools;6;;0;;0;Equal;;;;;;;;https://github.com/tkem/cachetools;87%;0/10;Equal;23/1458;True;100.0%;;TP
pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;;;0/9;Equal;1267/1442;False;87.5%;C (11.2%) - C++ (1.2%) - Other (0.1%);;https://github.com/eliben/pycparser;5;;0;;0;Equal;;;;;;;;https://github.com/eliben/pycparser;74%;0/9;Equal;1267/1442;False;87.5%;C (11.2%) - C++ (1.2%) - Other (0.1%);
oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;;;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;0/8;Equal;102/1460;True;99.6%;Makefile (0.4%);TP;https://github.com/oauthlib/oauthlib;5;;0;;0;Equal;;;;;;;;https://github.com/oauthlib/oauthlib;74%;0/8;Equal;102/1460;True;99.6%;Makefile (0.4%);TP
google-auth;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;;;15/26;Substring;27/964;True;96.8%;Shell (2.9%) - Dockerfile (0.3%);TP;https://github.com/googleapis/google-auth-library-python;5;;0;;0;Equal;;;;;;;;https://github.com/googleapis/google-auth-library-python;74%;15/26;Substring;27/964;True;96.8%;Shell (2.9%) - Dockerfile (0.3%);TP
requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;;0/17;Equal;38/1469;False;100.0%;;TP(?);https://github.com/requests/requests-oauthlib;6;;0;;0;Equal;;;;;;;;https://github.com/requests/requests-oauthlib;83%;0/17;Equal;38/1469;False;100.0%;;TP(?)
werkzeug;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/grahamdumpleton/wsgiorg;;0/8;Equal;54/1466;False;98.5%;Other (1.5%);TP(?);https://github.com/pallets/werkzeug;4;https://github.com/grahamdumpleton/wsgiorg;1;;0;Equal;;;;;;;;https://github.com/pallets/werkzeug;54%;0/8;Equal;54/1466;False;98.5%;Other (1.5%);TP(?)
decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;;;0/9;Equal;40/1459;False;99.6%;Other (0.4%);TP(?);https://github.com/micheles/decorator;5;;0;;0;Equal;;;;;;;;https://github.com/micheles/decorator;74%;0/9;Equal;40/1459;False;99.6%;Other (0.4%);TP(?)
scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;;https://github.com/scipy/scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;;;0/5;Equal;733/1391;True;51.6%;Fortran (19.2%) - C (17.4%) - C++ (11.5%) - TeX (0.2%) - CMake (0.1%);TP;https://github.com/scipy/scipy;4;;0;;0;Equal;;;;;;;;https://github.com/scipy/scipy;54%;0/5;Equal;733/1391;True;51.6%;Fortran (19.2%) - C (17.4%) - C++ (11.5%) - TeX (0.2%) - CMake (0.1%);TP
