Package name;Badge URL;Homepage URL;Metadata URL;Readthedocs URL;Statistics URL;OSSGadget URL;Mode URL;Final URL;Real URL;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Real URL Score
python-ldap;;https://github.com/python-ldap/python-ldap;;;;;https://github.com/python-ldap/python-ldap;https://github.com/python-ldap/python-ldap;https://github.com/python-ldap/python-ldap;1;-1;0;1;1
gapic-google-cloud-datastore-v1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
atlassian-jwt-auth;https://github.com/atlassian/asap-authentication-python;;;;;https://github.com/atlassian/asap-authentication-python;https://github.com/atlassian/asap-authentication-python;https://github.com/atlassian/asap-authentication-python;https://github.com/atlassian/asap-authentication-python;-1;1;1;1;2
tb-nightly;;;https://github.com/tensorflow/tensorboard;;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;-1;-1;0;1;-1
mpi4py;;;;;;;;;https://github.com/mpi4py/mpi4py;1;-1;0;1;1
snowflake-sqlalchemy;;;;;;https://github.com/snowflakedb/snowflake-sqlalchemy;;https://github.com/snowflakedb/snowflake-sqlalchemy;https://github.com/snowflakedb/snowflake-sqlalchemy;1;-1;1;1;2
ibm-db-sa;;;;;;https://github.com/ibmdb/python-ibmdbsa;;https://github.com/ibmdb/python-ibmdbsa;https://github.com/ibmdb/python-ibmdbsa;-1;1;0;1;1
wget;;;;;;;;;https://github.com/steveej/python-wget;1;-1;0;1;1
clickhouse-cityhash;;;https://github.com/xzkostyan/python-cityhash;;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash;-1;-1;0;1;-1
httpretty;https://github.com/gabrielfalcao/httpretty;;;https://github.com/gabrielfalcao/httpretty;;https://github.com/gabrielfalcao/httpretty;https://github.com/gabrielfalcao/httpretty;https://github.com/gabrielfalcao/httpretty;https://github.com/gabrielfalcao/httpretty;1;-1;1;1;2
azureml-sdk;;;;;;https://github.com/azure/machinelearningnotebooks;;https://github.com/azure/machinelearningnotebooks;https://github.com/azure/machinelearningnotebooks;-1;-1;0;1;-1
pywebhdfs;https://github.com/pywebhdfs/pywebhdfs;;;;;;https://github.com/pywebhdfs/pywebhdfs;https://github.com/pywebhdfs/pywebhdfs;https://github.com/pywebhdfs/pywebhdfs;1;-1;0;1;1
virtualenvwrapper;;;;https://github.com/readthedocs/sphinx_rtd_theme;;;https://github.com/readthedocs/sphinx_rtd_theme;https://github.com/readthedocs/sphinx_rtd_theme;;0;0;0;0;0
mkdocs;;https://github.com/mkdocs/mkdocs;;;;;https://github.com/mkdocs/mkdocs;https://github.com/mkdocs/mkdocs;https://github.com/mkdocs/mkdocs;1;-1;1;1;2
hashids;https://github.com/davidaurelio/hashids-python;;;;;;https://github.com/davidaurelio/hashids-python;https://github.com/davidaurelio/hashids-python;https://github.com/davidaurelio/hashids-python;1;1;0;1;3
mongomock;;;;;;;;;https://github.com/mongomock/mongomock;1;-1;1;1;2
locustio;;https://github.com/locustio/locust;;;;;https://github.com/locustio/locust;https://github.com/locustio/locust;https://github.com/locustio/locust;1;-1;-1;1;0
dash;https://github.com/plotly/dash;https://github.com/plotly/jupyter-dash;;;;https://github.com/plotly/dash;https://github.com/plotly/dash;https://github.com/plotly/dash;https://github.com/plotly/dash;1;1;1;1;4
ninja;https://github.com/scikit-build/ninja-python-distributions;https://github.com/ninja-build/ninja;;https://github.com/scikit-build/scikit-build;https://github.com/ninja-build/ninja;https://github.com/scikit-build/ninja-python-distributions;https://github.com/ninja-build/ninja;https://github.com/ninja-build/ninja;https://github.com/scikit-build/ninja-python-distributions;1;1;1;1;4
cftime;https://github.com/unidata/cftime;;;;;https://github.com/unidata/cftime;https://github.com/unidata/cftime;https://github.com/unidata/cftime;https://github.com/unidata/cftime;1;1;1;1;4
libsass;;https://github.com/sass/libsass;;;https://github.com/sass/libsass-python;https://github.com/sass/libsass;https://github.com/sass/libsass;https://github.com/sass/libsass;https://github.com/sass/libsass-python;1;1;1;1;4
urwid;;https://github.com/urwid/urwid;;;;;https://github.com/urwid/urwid;https://github.com/urwid/urwid;https://github.com/urwid/urwid;1;1;1;1;4
tf-estimator-nightly;;;;;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;1;-1;0;1;1
capstone;;https://github.com/aquynh/capstone;;;;;https://github.com/aquynh/capstone;https://github.com/aquynh/capstone;https://github.com/aquynh/capstone;1;-1;1;1;2
pyusb;;https://github.com/pyusb/pyusb;;;;;https://github.com/pyusb/pyusb;https://github.com/pyusb/pyusb;https://github.com/pyusb/pyusb;1;-1;0;1;1
pathlib-mate;https://github.com/machu-gwu/pathlib_mate-project;;;;;https://github.com/machu-gwu/pathlib_mate-project;https://github.com/machu-gwu/pathlib_mate-project;https://github.com/machu-gwu/pathlib_mate-project;https://github.com/machu-gwu/pathlib_mate-project;-1;1;1;1;2
brunel;;;;;;https://github.com/brunel-visualization/brunel;;https://github.com/brunel-visualization/brunel;https://github.com/brunel-visualization/brunel;1;-1;0;-1;-1
request;;;;;;;;;;0;0;0;0;0
post;;;;;;;;;;0;0;0;0;0
boxsdk;https://github.com/box/box-python-sdk;;;https://github.com/box/box-python-sdk;;https://github.com/box/box-python-sdk;https://github.com/box/box-python-sdk;https://github.com/box/box-python-sdk;https://github.com/box/box-python-sdk;-1;1;1;1;2
gapic-google-cloud-error-reporting-v1beta1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
proto-google-cloud-error-reporting-v1beta1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
ipyparallel;;;;https://github.com/ipython/ipyparallel;;;https://github.com/ipython/ipyparallel;https://github.com/ipython/ipyparallel;https://github.com/ipython/ipyparallel;1;-1;0;1;1
platformio;https://github.com/platformio/platformio-examples;;;;;https://github.com/platformio/platformio-core;https://github.com/platformio/platformio-examples;https://github.com/platformio/platformio-examples;https://github.com/platformio/platformio-core;1;1;1;1;4
gevent-websocket;;;;;;https://github.com/methane/wsaccel;;https://github.com/methane/wsaccel;https://github.com/jgelens/gevent-websocket;1;-1;0;1;1
routes;;;;https://github.com/bbangert/routes;;;https://github.com/bbangert/routes;https://github.com/bbangert/routes;https://github.com/bbangert/routes;1;-1;0;1;1
pylibmc;https://github.com/lericson/pylibmc;https://github.com/lericson/pylibmc;;;;;https://github.com/lericson/pylibmc;https://github.com/lericson/pylibmc;https://github.com/lericson/pylibmc;1;1;0;1;3
konlpy;;https://github.com/konlpy/konlpy;;;;;https://github.com/konlpy/konlpy;https://github.com/konlpy/konlpy;https://github.com/konlpy/konlpy;1;-1;1;1;2
palettable;https://github.com/jiffyclub/palettable;https://github.com/jiffyclub/palettable;;;;;https://github.com/jiffyclub/palettable;https://github.com/jiffyclub/palettable;https://github.com/jiffyclub/palettable;1;1;1;1;4
django-rest-framework;;https://github.com/encode/django-rest-framework;;;;;https://github.com/encode/django-rest-framework;https://github.com/encode/django-rest-framework;https://github.com/encode/django-rest-framework;1;-1;-1;1;0
geoalchemy2;;;;https://github.com/geoalchemy/geoalchemy2;;;https://github.com/geoalchemy/geoalchemy2;https://github.com/geoalchemy/geoalchemy2;https://github.com/geoalchemy/geoalchemy2;1;1;0;1;3
httpagentparser;https://github.com/shon/httpagentparser;https://github.com/shon/httpagentparser;;;;;https://github.com/shon/httpagentparser;https://github.com/shon/httpagentparser;https://github.com/shon/httpagentparser;1;1;1;1;4
mando;https://github.com/rubik/mando;https://github.com/rubik/mando;;;;;https://github.com/rubik/mando;https://github.com/rubik/mando;https://github.com/rubik/mando;1;1;1;1;4
logging;;;;;;;;;;0;0;0;0;0
mkdocs-material;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material;;https://github.com/salesforce/policy_sentry;;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material;1;-1;1;-1;0
hacs-frontend;;;https://github.com/hacs/frontend;;https://github.com/hacs/frontend;https://github.com/hacs/frontend;https://github.com/hacs/frontend;https://github.com/hacs/frontend;https://github.com/hacs/frontend;1;-1;0;-1;-1
github3-py;;;;https://github.com/sigmavirus24/github3.py;;;https://github.com/sigmavirus24/github3.py;https://github.com/sigmavirus24/github3.py;https://github.com/sigmavirus24/github3.py;1;1;0;1;3
numpydoc;https://github.com/numpy/numpydoc;https://github.com/numpy/numpydoc;;https://github.com/numpy/numpydoc;;;https://github.com/numpy/numpydoc;https://github.com/numpy/numpydoc;https://github.com/numpy/numpydoc;1;1;0;1;3
progressbar;;https://github.com/niltonvolpato/python-progressbar;;;;;https://github.com/niltonvolpato/python-progressbar;https://github.com/niltonvolpato/python-progressbar;https://github.com/niltonvolpato/python-progressbar;1;1;0;1;3
ur-rtde;;;;;;https://github.com/universalrobots/universal_robots_ros_driver;;https://github.com/universalrobots/universal_robots_ros_driver;;0;0;0;0;0
chart-studio;;;;;https://github.com/plotly/plotly.py;https://github.com/plotly/ruby-api;https://github.com/plotly/plotly.py;https://github.com/plotly/plotly.py;https://github.com/plotly/plotly.py;-1;-1;-1;1;-2
h2o-pysparkling-2-4;;;https://github.com/h2oai/sparkling-water;;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water;-1;-1;0;1;-1
jupyter-latex-envs;;;https://github.com/jfbercher/jupyter_latex_envs;;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs;-1;-1;0;1;-1
grpc-google-logging-v2;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
grpc-google-pubsub-v1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
gax-google-logging-v2;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
gax-google-pubsub-v1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
proto-google-cloud-pubsub-v1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
gapic-google-cloud-pubsub-v1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
protorpc;;https://github.com/google/protorpc;;;;;https://github.com/google/protorpc;https://github.com/google/protorpc;https://github.com/google/protorpc;1;-1;0;1;1
hacking;;;;;;https://github.com/pycqa/pycodestyle;;https://github.com/pycqa/pycodestyle;https://github.com/openstack/hacking;1;1;0;1;3
pywinauto;;;;https://github.com/pywinauto/pywinauto;;;https://github.com/pywinauto/pywinauto;https://github.com/pywinauto/pywinauto;https://github.com/pywinauto/pywinauto;1;-1;0;1;1
onnxruntime;;;;;https://github.com/microsoft/onnxruntime;https://github.com/microsoft/onnxruntime;https://github.com/microsoft/onnxruntime;https://github.com/microsoft/onnxruntime;https://github.com/microsoft/onnxruntime;1;-1;0;1;1
limits;;https://github.com/alisaifee/limits;;;;;https://github.com/alisaifee/limits;https://github.com/alisaifee/limits;https://github.com/alisaifee/limits;1;1;1;1;4
ortools;;;;;https://github.com/google/or-tools;https://github.com/google/or-tools;https://github.com/google/or-tools;https://github.com/google/or-tools;https://github.com/google/or-tools;1;-1;1;1;2
htcondor;;;;https://github.com/htcondor/htcondor;;;https://github.com/htcondor/htcondor;https://github.com/htcondor/htcondor;https://github.com/htcondor/htcondor;1;-1;0;1;1
