Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different;Names Lev. dist.;Names Similarity;Statistics;Descr. Lev. dist.;Readthedocs;GitHub badge;PyPI badge;Python lang. perc.;Other languages
jupyterhub;https://github.com/jupyterhub/jupyterhub;False;https://github.com/jupyterhub/jupyterhub;https://github.com/jupyterhub/jupyterhub;https://github.com/jupyterhub/jupyterhub;https://github.com/jupyterhub/jupyterhub;100%;False;0/10;Equal;True;1430/1430;True;True;True;93.0%;HTML (3.3%) - JavaScript (2.3%) - Shell (0.5%) - Dockerfile (0.4%) - Less (0.4%) - Mako (0.1%)
django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;False;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;100%;False;0/16;Equal;True;1453/1453;True;False;True;100.0%;
memcnn;https://github.com/silvandeleemput/memcnn;False;https://github.com/silvandeleemput/memcnn;;https://github.com/silvandeleemput/memcnn;https://github.com/silvandeleemput/memcnn;66%;False;0/6;Equal;False;1453/1453;True;True;True;94.9%;TeX (4.4%) - Dockerfile (0.7%)
azure-keyvault-keys;https://github.com/azure/azure-sdk-for-python;False;https://github.com/azure/azure-sdk-for-python;;https://github.com/azure/azure-sdk-for-python;https://github.com/azure/azure-sdk-for-python;66%;False;14/20;Different;True;1452/1452;False;False;https://pypi.org/project/azure;99.9%;PowerShell (0.1%) - Jupyter (Notebook%) - HTML (0.0%) - Shell (0.0%) - JavaScript (0.0%)
rpqueue;https://github.com/josiahcarlson/rpqueue;False;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;100%;False;0/7;Equal;True;1466/1466;False;False;False;98.4%;Makefile (1.6%)
zappa;https://github.com/miserlou/zappa;False;https://github.com/miserlou/zappa;https://github.com/miserlou/zappa;https://github.com/miserlou/zappa;https://github.com/miserlou/zappa;100%;False;0/5;Equal;True;1401/1401;https://github.com/readthedocs/sphinx_rtd_theme;True;False;99.9%;Shell (0.1%)
asyncio-nats-client;https://github.com/nats-io/nats.py;False;https://github.com/nats-io/nats.py;https://github.com/nats-io/nats.py;https://github.com/nats-io/nats.py;https://github.com/nats-io/nats.py;100%;False;15/19;Different;True;99/99;False;False;True;99.4%;Other (0.6%)
addict;https://github.com/mewwts/addict;False;https://github.com/mewwts/addict;https://github.com/mewwts/addict;https://github.com/mewwts/addict;https://github.com/mewwts/addict;100%;False;0/6;Equal;True;235/235;False;False;True;100.0%;
pyrect;https://github.com/asweigart/pyrect;False;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;100%;False;0/6;Equal;True;1429/1429;False;False;False;100.0%;
flask-debugtoolbar;https://github.com/django-debug-toolbar/django-debug-toolbar;False;https://github.com/mgood/flask-debugtoolbar;https://github.com/jazzband/django-debug-toolbar;https://github.com/jazzband/django-debug-toolbar;https://github.com/jazzband/django-debug-toolbar;66%;False;6/20;Different;False;1437/1437;True;https://github.com/flask-debugtoolbar/flask-debugtoolbar;https://pypi.org/project/django-debug-toolbar;77.6%;HTML (11.3%) - JavaScript (6.2%) - CSS (4.3%) - Makefile (0.6%)
