Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different
google-cloud-datacatalog;https://github.com/googleapis/python-datacatalog;False;https://github.com/googleapis/python-datacatalog;https://github.com/googleapis/python-datacatalog;https://github.com/googleapis/python-datacatalog;https://github.com/googleapis/python-datacatalog;100%;False
pyjarowinkler;https://github.com/nap/jaro-winkler-distance;False;https://github.com/nap/jaro-winkler-distance;https://github.com/nap/jaro-winkler-distance;https://github.com/nap/jaro-winkler-distance;https://github.com/nap/jaro-winkler-distance;100%;False
rednose;https://github.com/jbkahn/rednose;False;https://github.com/jbkahn/rednose;https://github.com/jbkahn/rednose;https://github.com/jbkahn/rednose;https://github.com/jbkahn/rednose;100%;False
xmlschema;https://github.com/brunato/xmlschema;False;https://github.com/sissaschool/xmlschema;https://github.com/sissaschool/xmlschema;https://github.com/sissaschool/xmlschema;https://github.com/sissaschool/xmlschema;100%;True
gremlinpython;https://github.com/gremlinpython/gremlinpython;True;;;;;0%;True
zope-sqlalchemy;https://github.com/zopefoundation/zope.sqlalchemy;False;https://github.com/zopefoundation/zope.sqlalchemy;https://github.com/zopefoundation/zope.sqlalchemy;https://github.com/zopefoundation/zope.sqlalchemy;https://github.com/zopefoundation/zope.sqlalchemy;100%;False
requests-unixsocket;https://github.com/msabramo/requests-unixsocket;False;https://github.com/msabramo/requests-unixsocket;https://github.com/msabramo/requests-unixsocket;https://github.com/msabramo/requests-unixsocket;https://github.com/msabramo/requests-unixsocket;100%;False
sphinxcontrib-bibtex;https://github.com/mcmtroffaes/sphinxcontrib-bibtex;False;https://github.com/mcmtroffaes/sphinxcontrib-bibtex;https://github.com/mcmtroffaes/sphinxcontrib-bibtex;https://github.com/mcmtroffaes/sphinxcontrib-bibtex;https://github.com/mcmtroffaes/sphinxcontrib-bibtex;100%;False
httpbin;https://github.com/requests/httpbin;False;https://github.com/requests/httpbin;https://github.com/requests/httpbin;https://github.com/requests/httpbin;https://github.com/requests/httpbin;100%;False
django-jsonfield;https://github.com/adamchainz/django-jsonfield;False;https://github.com/adamchainz/django-jsonfield;https://github.com/adamchainz/django-jsonfield;https://github.com/adamchainz/django-jsonfield;https://github.com/adamchainz/django-jsonfield;100%;False
gsutil;https://github.com/gsutil/gsutil;True;https://github.com/googlecloudplatform/gsutil;;;https://github.com/googlecloudplatform/gsutil;33%;True
namedlist;https://github.com/namedlist/namedlist;True;;;;;0%;True
maturin;https://github.com/pyo3/maturin;False;https://github.com/pyo3/maturin;https://github.com/pyo3/setuptools-rust;https://github.com/pyo3/maturin;https://github.com/pyo3/maturin;66%;False
