Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position
mock;https://github.com/testing-cabal/mock;;https://github.com/testing-cabal/mock;https://github.com/testing-cabal/mock;https://github.com/testing-cabal/mock;;;;0/4;Equal;0/627;False;100.0%;;TP(?)
mccabe;https://github.com/pycqa/mccabe;https://github.com/pycqa/mccabe;;https://github.com/pycqa/mccabe;https://github.com/pycqa/mccabe;https://github.com/pycqa/mccabe;;;0/6;Equal;304/1458;False;100.0%;;TP(?)
google-api-python-client;https://github.com/googleapis/google-api-python-client;https://github.com/googleapis/google-api-python-client;https://github.com/googleapis/google-api-python-client;https://github.com/googleapis/google-api-python-client;https://github.com/googleapis/google-cloud-python;https://github.com/googleapis/google-api-python-client;;;0/24;Equal;11/1469;True;93.9%;Shell (5.8%) - Makefile (0.3%);TP
boto;https://github.com/boto/boto;https://github.com/boto/boto;;;https://github.com/boto/boto3;https://github.com/boto/boto;;https://github.com/boto/boto;0/4;Equal;8/1464;True;100.0%;;TP
tornado;https://github.com/tornadoweb/tornado;;https://github.com/tornadoweb/tornado;https://github.com/tornadoweb/tornado;;;;;0/7;Equal;21/941;False;99.6%;Other (0.4%);TP(?)
defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;;https://github.com/tiran/defusedxml;0/10;Equal;73/1470;True;84.3%;CSS (9.6%) - XSLT (2.4%) - Makefile (2.1%) - Ruby (0.9%) - PHP (0.5%) - Perl (0.2%);TP
beautifulsoup4;;;;;;;;;;;;;;;
tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;;https://github.com/tqdm/tqdm;0/4;Equal;12/1453;True;79.3%;Jupyter (Notebook%) - Roff (2.4%) - Makefile (1.4%) - Shell (0.3%);TP
docker;https://github.com/docker/docker-py;https://github.com/docker/docker-py;https://github.com/docker/docker-py;https://github.com/docker/docker-py;https://github.com/docker/docker-py;https://github.com/docker/docker-py;;https://github.com/docker/docker-py;3/9;Substring;6/1454;False;99.2%;Other (0.8%);TP(?)
traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;0/9;Equal;1/1436;False;100.0%;;TP(?)
