Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Final URL;Real URL
pylibmc;;;https://github.com/lericson/pylibmc;;;;;https://github.com/lericson/pylibmc;https://github.com/lericson/pylibmc;https://github.com/lericson/pylibmc
konlpy;;;https://github.com/konlpy/konlpy;;;;;;https://github.com/konlpy/konlpy;https://github.com/konlpy/konlpy
palettable;;;https://github.com/jiffyclub/palettable;;;;;https://github.com/jiffyclub/palettable;https://github.com/jiffyclub/palettable;https://github.com/jiffyclub/palettable
django-rest-framework;;;https://github.com/encode/django-rest-framework;;;;;;https://github.com/encode/django-rest-framework;https://github.com/encode/django-rest-framework
geoalchemy2;;;;;;;https://github.com/geoalchemy/geoalchemy2;;https://github.com/geoalchemy/geoalchemy2;https://github.com/geoalchemy/geoalchemy2
httpagentparser;;;https://github.com/shon/httpagentparser;;;;;https://github.com/shon/httpagentparser;https://github.com/shon/httpagentparser;https://github.com/shon/httpagentparser
mando;;;https://github.com/rubik/mando;;;;;https://github.com/rubik/mando;https://github.com/rubik/mando;https://github.com/rubik/mando
logging;;;;;;;;;;
mkdocs-material;https://github.com/squidfunk/mkdocs-material;;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material;https://github.com/sponsorware/docs;;https://github.com/salesforce/policy_sentry;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material
hacs-frontend;https://github.com/hacs/frontend;https://github.com/hacs/frontend;;;https://github.com/hacs/frontend;https://github.com/hacs/frontend;;;https://github.com/hacs/frontend;https://github.com/hacs/frontend
github3-py;;;;;https://github.com/psf/requests;;https://github.com/sigmavirus24/github3.py;;https://github.com/psf/requests;https://github.com/sigmavirus24/github3.py
numpydoc;;;https://github.com/numpy/numpydoc;;;;https://github.com/numpy/numpydoc;https://github.com/numpy/numpydoc;https://github.com/numpy/numpydoc;https://github.com/numpy/numpydoc
progressbar;;;https://github.com/niltonvolpato/python-progressbar;;;;;;https://github.com/niltonvolpato/python-progressbar;https://github.com/niltonvolpato/python-progressbar
ur-rtde;https://github.com/universalrobots/universal_robots_ros_driver;;;;https://github.com/universalrobots/universal_robots_externalcontrol_urcap;;;;https://github.com/universalrobots/universal_robots_externalcontrol_urcap;
chart-studio;https://github.com/plotly/ruby-api;;;;https://github.com/plotly/plotly.py;https://github.com/plotly/plotly.py;;;https://github.com/plotly/plotly.py;https://github.com/plotly/plotly.py
h2o-pysparkling-2-4;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water;;;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water;;;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water
jupyter-latex-envs;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs;;;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs;;;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs
