Package name;OSSGadget PyPI URL;OSSGadget GitHub URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL
isodate;https://github.com/gweis/isodate;;https://github.com/gweis/isodate;;;https://github.com/gweis/isodate;https://github.com/gweis/isodate;;https://github.com/gweis/isodate
httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;;
matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;;https://github.com/matplotlib/matplotlib
ptyprocess;https://github.com/pexpect/ptyprocess;;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;;
mock;https://github.com/testing-cabal/mock;;;https://github.com/testing-cabal/mock;https://github.com/testing-cabal/mock;https://github.com/testing-cabal/mock;;;
mccabe;https://github.com/pycqa/mccabe;;https://github.com/pycqa/mccabe;;https://github.com/pycqa/mccabe;https://github.com/pycqa/mccabe;https://github.com/pycqa/mccabe;;
google-api-python-client;https://github.com/googleapis/google-api-python-client;;https://github.com/googleapis/google-api-python-client;https://github.com/googleapis/google-api-python-client;https://github.com/googleapis/google-api-python-client;https://github.com/googleapis/google-cloud-python;https://github.com/googleapis/google-api-python-client;;
boto;https://github.com/boto/boto;https://github.com/boto/boto;https://github.com/boto/boto;;;https://github.com/boto/boto3;https://github.com/boto/boto;;https://github.com/boto/boto
tornado;https://github.com/tornadoweb/tornado;;;https://github.com/tornadoweb/tornado;https://github.com/tornadoweb/tornado;;;;
defusedxml;https://github.com/tiran/defusedxml;;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;https://github.com/tiran/defusedxml;;https://github.com/tiran/defusedxml
beautifulsoup4;;;;;;;;;
tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;https://github.com/tqdm/tqdm;;https://github.com/tqdm/tqdm
docker;https://github.com/docker/docker-py;https://github.com/moby/moby;https://github.com/docker/docker-py;https://github.com/docker/docker-py;https://github.com/docker/docker-py;https://github.com/docker/docker-py;https://github.com/docker/docker-py;;https://github.com/docker/docker-py
traitlets;https://github.com/ipython/traitlets;;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets;https://github.com/ipython/traitlets
tensorboard;https://github.com/tensorflow/tensorboard;;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;;
appdirs;https://github.com/activestate/appdirs;;https://github.com/activestate/appdirs;https://github.com/activestate/appdirs;https://github.com/activestate/appdirs;https://github.com/activestate/appdirs;https://github.com/activestate/appdirs;;https://github.com/activestate/appdirs
pycodestyle;https://github.com/pycqa/pycodestyle;;;;;https://github.com/pycqa/pycodestyle;;https://github.com/pycqa/pycodestyle;https://github.com/pycqa/pycodestyle
tensorflow;https://github.com/tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;;;https://github.com/tensorflow/tensorflow;;https://github.com/tensorflow/tensorflow;;
ipython-genutils;;;;;;;;;
webencodings;https://github.com/gsnedders/python-webencodings;;https://github.com/gsnedders/python-webencodings;https://github.com/gsnedders/python-webencodings;;https://github.com/gsnedders/python-webencodings;https://github.com/gsnedders/python-webencodings;;
kiwisolver;https://github.com/nucleic/kiwi;;https://github.com/nucleic/kiwi;;;https://github.com/nucleic/kiwi;https://github.com/nucleic/kiwi;https://github.com/nucleic/kiwi;https://github.com/nucleic/kiwi
bleach;https://github.com/mozilla/bleach;;https://github.com/mozilla/bleach;https://github.com/mozilla/bleach;https://github.com/mozilla/bleach;https://github.com/mozilla/bleach;https://github.com/mozilla/bleach;https://github.com/mozilla/bleach;https://github.com/mozilla/bleach
uritemplate;https://github.com/python-hyper/uritemplate;;;;;https://github.com/python-hyper/uritemplate;;;
msrest;https://github.com/azure/msrest-for-python;;https://github.com/azure/msrest-for-python;https://github.com/azure/msrest-for-python;https://github.com/azure/msrest-for-python;https://github.com/azure/msrest-for-python;https://github.com/azure/msrest-for-python;;https://github.com/azure/msrest-for-python
pbr;;;;;;;;;
