Vuln ID;Severity;Package name;Clone dir;Commit hash;Release;Release type;Commit date;Release date;Time interval
249;H;waitress;waitress;11d9e138125ad46e951027184b13242a3c1de017;1.4.1;patch;2019-12-24;2019-12-24;0
250;H;waitress;waitress;8eba394ad75deaf9e5cd15b78a3d16b12e6b0eba;1.4.0;minor;2019-12-19;2019-12-20;1
251;H;waitress;waitress;f11093a6b3240fc26830b6111e826128af7771c3;1.4.0;minor;2019-12-20;2019-12-20;0
252;M;waitress;waitress;07e21576ef272a1bbd5410ef34f479e31ee68665;0.9.0;minor;2016-01-03;2016-04-15;102
253;M;waitress;waitress;7f4e0f7b9c14aba74dd1da7a030072d79ca99b6b;1.0.0;major;2016-06-24;2016-08-31;67
254;H;webargs;webargs;74fada601a31b03dca0e4ae34c7d40246dcef598;5.5.3;patch;2020-01-28;2020-01-28;0
255;M;webob;webob;97041f58fcee30b37a8c0fba0108cf69c6e01330;1.6.0;minor;2016-01-03;2016-03-15;72
256;M;websocket-client;websocket-client;896e7c7317def65f7f8fb27a3eed807f2e1e5386;0.33.0;minor;2015-09-21;2015-10-27;36
257;H;websockets;websockets;b6a25ceb3555d0ba69e5961b8d7616e4c1aecb2b;5.0.1;patch;2018-05-20;2018-05-24;4
258;H;werkzeug;werkzeug;413a978fa99f64d2abdfb8bddd1da5bf44bc52ec;0.11.6;patch;2016-04-14;2016-04-14;0
259;L;werkzeug;werkzeug;84eabcaa81f60d47939ac2d43f01d01eeab598a4;0.4.1;patch;2008-06-24;2009-01-11;202
260;H;werkzeug;werkzeug;00bc43b1672e662e5e3b8cecd79e67fc968fa246;0.15.3;patch;2019-05-14;2019-05-14;0
261;M;werkzeug;werkzeug;1034edc7f901dd645ec6e462754111b39002bd65;0.11.11;patch;2016-08-31;2016-08-31;0
262;M;werkzeug;werkzeug;7b8d887d33c768a77f40dd15ff5ac6ebbbab25b9;0.8.3;patch;2012-02-05;2012-02-05;0
