Vuln ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
19;pyramid;pyramid;d1527f421d8ad6163304cbb3bcec3b2c2124c9dc;1.3a1;2011-10-14;2011-12-09;55
1;pytorch-lightning;pytorch-lightning;96eb6ebacd5b8bba2dea4741355f576e8f1c6a16;0.9.0;2020-08-01;2020-08-20;19
46;rope;rope;b01da7aab5cd02129941d2a900e6e5e3b5f7d4fb;0.11.0;2018-08-08;2018-08-08;0
11;rtslib-fb;rtslib-fb;1d19b0f2aa45b8f61f75d6a05524389ea547784c;v2.1.73;2020-05-28;2020-06-24;26
43;salt;salt;6366e05d0d70bd709cc4233c3faf32a759d0173a;v2016.11.8;2017-08-15;2017-09-14;29
45;salt;salt;c59ae9a82cd600859b76809aeb14367f86abaf0e;v2016.3.6;2017-03-22;2017-03-22;0
5;starlette;starlette;e611476cb7993024ef879ba3af697fa5e387ea9e;0.13.5;2020-07-16;2020-07-17;1
41;tornado;tornado;729f1d904225c5d1b15571f125207c319b22616a;v5.1.0b1;2018-05-19;2018-06-10;21
36;twisted;twisted;cf8ed69824502cb39b3a077ec596fe01c03b93da;twisted-19.7.0;2019-07-04;2019-07-28;24
50;twisted;twisted;3853ab613d17983638b6039e0878104f9ee1ba92;twisted-16.4.0;2016-08-10;2016-08-28;18
40;urllib3;urllib3;560bd227b90f74417ffaedebf5f8d05a8ee4f532;1.23;2018-03-29;2018-06-04;65
18;werkzeug;werkzeug;4baf7f2580aef7040ab4b420690d16084901fd41;0.12;2016-06-03;2017-03-10;282
48;werkzeug;werkzeug;1034edc7f901dd645ec6e462754111b39002bd65;0.11.11;2016-08-31;2016-08-31;0
