Vuln ID;Severity;Package name;Clone dir;Commit hash
248;H;waitress;waitress;575994cd42e83fd772a5f7ec98b2c56751bd3f65
249;H;waitress;waitress;11d9e138125ad46e951027184b13242a3c1de017
250;H;waitress;waitress;8eba394ad75deaf9e5cd15b78a3d16b12e6b0eba
251;H;waitress;waitress;f11093a6b3240fc26830b6111e826128af7771c3
252;M;waitress;waitress;07e21576ef272a1bbd5410ef34f479e31ee68665
253;M;waitress;waitress;7f4e0f7b9c14aba74dd1da7a030072d79ca99b6b
254;H;webargs;webargs;74fada601a31b03dca0e4ae34c7d40246dcef598
255;M;webob;webob;97041f58fcee30b37a8c0fba0108cf69c6e01330
256;M;websocket-client;websocket-client;896e7c7317def65f7f8fb27a3eed807f2e1e5386
257;H;websockets;websockets;b6a25ceb3555d0ba69e5961b8d7616e4c1aecb2b
258;H;werkzeug;werkzeug;413a978fa99f64d2abdfb8bddd1da5bf44bc52ec
259;L;werkzeug;werkzeug;84eabcaa81f60d47939ac2d43f01d01eeab598a4
260;H;werkzeug;werkzeug;00bc43b1672e662e5e3b8cecd79e67fc968fa246
261;M;werkzeug;werkzeug;1034edc7f901dd645ec6e462754111b39002bd65
262;M;werkzeug;werkzeug;7b8d887d33c768a77f40dd15ff5ac6ebbbab25b9
