package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
aws-cdk-aws-sns;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-sns-subscriptions;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-sqs;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-ssm;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-stepfunctions;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-core;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-cx-api;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-region-info;https://github.com/aws/aws-cdk;613325;6243;273
awscli;https://github.com/aws/aws-cli;420684707;19931;304
aws-configure;https://github.com/qoomon/aws-configure;332361;;
awsebcli;https://github.com/aws/aws-elastic-beanstalk-cli-setup;2617107;;
aws-encryption-sdk;https://github.com/aws/aws-encryption-sdk-python;2933649;;
aws-encryption-sdk-cli;https://github.com/aws/aws-encryption-sdk-cli;1481564;;
awsiotpythonsdk;https://github.com/aws/aws-iot-device-sdk-python;1010331;426;14
aws-kinesis-agg;https://github.com/awslabs/kinesis-aggregation;282300;51;8
aws-lambda-builders;https://github.com/aws/aws-lambda-builders;1852901;;
awslogs;https://github.com/jorgebastida/awslogs;513767;92;6
aws-requests-auth;https://github.com/davidmuller/aws-requests-auth;3420785;493;36
aws-sam-cli;https://github.com/aws/aws-sam-cli;1878279;745;12
aws-sam-translator;https://github.com/aws/serverless-application-model;10563094;1450;12
aws-xray-sdk;https://github.com/aws/aws-xray-sdk-python;12562071;2054;19
azure;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-applicationinsights;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-batch;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-cli;https://github.com/azure/azure-cli;8412355;353;21
azure-cli-command-modules-nspkg;https://github.com/azure/azure-cli;8412355;353;21
azure-cli-core;https://github.com/azure/azure-cli;8412355;353;21
azure-cli-nspkg;https://github.com/azure/azure-cli;8412355;353;21
azure-cli-profile;https://github.com/azure/azure-cli;8412355;353;21
azure-cli-telemetry;https://github.com/azure/azure-cli;8412355;353;21
azure-common;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-core;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-cosmos;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-cosmosdb-nspkg;https://github.com/azure/azure-cosmos-table-python;12707767;;
azure-cosmosdb-table;https://github.com/azure/azure-cosmos-table-python;12707767;;
azure-datalake-store;https://github.com/azure/azure-data-lake-store-python;18490888;;
azure-devops;https://github.com/microsoft/azure-devops-python-api;45341674;;
azure-devtools;https://github.com/azure/azure-python-devtools;392661;;
azure-eventgrid;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-eventhub;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-functions;https://github.com/azure/azure-functions-python-library;661340;2573;25
azure-functions-devops-build;https://github.com/azure/azure-functions-devops-build;2500793;;
azure-graphrbac;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-identity;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-keyvault;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-keyvault-certificates;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-keyvault-keys;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-keyvault-secrets;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-kusto-data;https://github.com/azure/azure-kusto-python;7382641;136;9
azure-kusto-ingest;https://github.com/azure/azure-kusto-python;7382641;136;9
azure-loganalytics;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-log-analytics-data-collector-api;https://github.com/yokawasa/azure-log-analytics-data-collector-python;271663;;
azure-mgmt;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-advisor;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-apimanagement;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-appconfiguration;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-applicationinsights;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-authorization;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-batch;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-batchai;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-billing;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-botservice;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-cdn;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-cognitiveservices;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-commerce;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-compute;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-consumption;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-containerinstance;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-containerregistry;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-containerservice;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-core;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-cosmosdb;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-datafactory;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-datalake-analytics;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-datalake-nspkg;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-datalake-store;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-datamigration;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-deploymentmanager;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-devspaces;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-devtestlabs;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-dns;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-documentdb;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-eventgrid;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-eventhub;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-hanaonazure;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-hdinsight;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-imagebuilder;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-iotcentral;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-iothub;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-iothubprovisioningservices;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-keyvault;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-kusto;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-loganalytics;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-logic;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-machinelearningcompute;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-managedservices;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-managementgroups;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-managementpartner;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-maps;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-marketplaceordering;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-media;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-monitor;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-msi;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-netapp;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-network;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-notificationhubs;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-nspkg;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-policyinsights;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-privatedns;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-rdbms;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-recoveryservices;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-recoveryservicesbackup;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-redhatopenshift;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-redis;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-relay;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-reservations;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-resource;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-scheduler;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-search;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-security;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-servermanager;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-servicebus;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-servicefabric;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-signalr;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-sql;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-sqlvirtualmachine;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-storage;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
