package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
azureml-dataprep;https://github.com/azureml-dataprep/azureml-dataprep;4150856;;
azureml-dataprep-native;https://github.com/azureml-dataprep-native/azureml-dataprep-native;4078399;;
azureml-defaults;https://github.com/azureml-defaults/azureml-defaults;1755630;;
azureml-designer-serving;https://github.com/azureml-designer-serving/azureml-designer-serving;1227221;;
azureml-explain-model;https://github.com/azureml-explain-model/azureml-explain-model;483780;;
azureml-interpret;https://github.com/azureml-interpret/azureml-interpret;384513;;
azureml-model-management-sdk;https://github.com/Azure/azure-ml-api-sdk-python;4675747;;
azureml-pipeline;https://github.com/azureml-pipeline/azureml-pipeline;2982343;;
azureml-pipeline-core;https://github.com/azureml-pipeline-core/azureml-pipeline-core;3284489;;
azureml-pipeline-steps;https://github.com/azureml-pipeline-steps/azureml-pipeline-steps;3010321;;
azureml-sdk;https://github.com/Azure/MachineLearningNotebooks;2882134;;
azureml-telemetry;https://github.com/azureml-telemetry/azureml-telemetry;3451365;;
azureml-train;https://github.com/azureml-train/azureml-train;2889381;;
azureml-train-automl;https://github.com/azureml-train-automl/azureml-train-automl;556491;;
azureml-train-automl-client;https://github.com/azureml-train-automl-client/azureml-train-automl-client;1768242;;
azureml-train-automl-runtime;https://github.com/azureml-train-automl-runtime/azureml-train-automl-runtime;350784;;
azureml-train-core;https://github.com/azureml-train-core/azureml-train-core;3119400;;
azureml-train-restclients-hyperdrive;https://github.com/azureml-train-restclients-hyperdrive/azureml-train-restclients-hyperdrive;3114833;;
azureml-widgets;https://github.com/azureml-widgets/azureml-widgets;319381;;
azure-multiapi-storage;https://github.com/Azure/azure-multiapi-storage-python;2880722;;
azure-storage-blob;https://github.com/azure/azure-sdk-for-python;79776493;1306;100
azure-storage-common;https://github.com/Azure/azure-storage-python;56907207;1685;28
azure-storage-logging;https://github.com/michiya/azure-storage-logging;320374;10;
azure-storage-queue;https://github.com/azure/azure-sdk-for-python;15707224;1306;100
babel;https://github.com/babel/babel;57571909;3247766;110573
babelfish;https://github.com/Diaoul/babelfish;273569;;
backcall;https://github.com/takluyver/backcall;47450039;;
backoff;https://github.com/litl/backoff;16021501;;
backports-abc;https://github.com/cython/backports_abc;40318390;;
backports-csv;https://github.com/ryanhiebert/backports.csv;5563899;;
backports-functools-lru-cache;https://github.com/jaraco/backports.functools_lru_cache;47009533;;
backports-os;https://github.com/pjdelport/backports.os;748053;;
backports-shutil-get-terminal-size;https://github.com/chrippa/backports.shutil_get_terminal_size;42326449;;
backports-ssl-match-hostname;https://github.com/backports-ssl-match-hostname/backports-ssl-match-hostname;22830202;;
backports-tempfile;https://github.com/pjdelport/backports.tempfile;8760561;;
backports-weakref;https://github.com/pjdelport/backports.weakref;22737107;;
bagit;https://github.com/libraryofcongress/bagit-python;481932;;
bandit;https://github.com/PyCQA/bandit;6711229;4018;279
base36;https://github.com/tonyseek/python-base36;439827;;
base58;https://github.com/keis/base58;2078193;4171;236
base64io;https://github.com/aws/base64io-python;1483696;;
baselines;https://github.com/openai/baselines;365230;222;5
bashate;https://github.com/pycqa/pycodestyle;626868;90657;664
bashlex;https://github.com/idank/bashlex;2576857;56;8
basictracer;https://github.com/opentracing/basictracer-python;5761033;;11
bayesian-optimization;https://github.com/fmfn/BayesianOptimization;783417;393;40
bbcode;https://github.com/dcwatson/bbcode;334733;;
bcdoc;https://github.com/botocore/bcdoc;363307;;
bcolz;https://github.com/Blosc/bcolz;361201;1238;42
bcrypt;https://github.com/pyca/bcrypt;84371582;;
bdbag;https://github.com/fair-research/bdbag;300568;;
bdquaternions;https://github.com/bond-anton/BDQuaternions;373850;;
beaker;https://github.com/bbangert/beaker;1522612;2192;124
beatbox;https://github.com/beatbox/beatbox;430208;;
beautifulsoup;https://github.com/beautifulsoup/beautifulsoup;2930808;;
beautifulsoup4;https://github.com/beautifulsoup4/beautifulsoup4;95149224;;
beautifultable;https://github.com/pri22296/beautifultable;299993;;
behave;http://github.com/behave/behave;4498841;3693;105
