package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
py;153832347;https://github.com/pytest-dev/py;35;2020-06-25;54;0;30;106;100;125;52;87,591;715;https://libraries.io/pypi/py;15;146;17.5K
pluggy;152658669;https://github.com/pytest-dev/pluggy;460;2020-07-02;7;0;28;88;88;108;31;74,703;456;https://libraries.io/pypi/pluggy;20;111;9.41K
pygments;151828958;;;;0;0;;;0;0;;;;https://libraries.io/pypi/Pygments;20;667;33.9K
psutil;145293083;https://github.com/giampaolo/psutil;6503;2020-08-15;73;0;201;1155;100;21;124;51,383;2,624;https://libraries.io/pypi/psutil;25;850;12.3K
flask;143727210;https://github.com/pallets/flask;51690;2020-08-17;32;0.26;22;1958;100;4;613;514,964;5,826;https://libraries.io/pypi/Flask;27;1.93K;116K
pyjwt;142570202;http://github.com/jpadilla/pyjwt;3379;2020-07-28;4;0.26;60;200;100;62;77;;;https://libraries.io/pypi/PyJWT;24;511;9.44K
coverage;140848928;https://github.com/nedbat/coveragepy;1281;2020-08-16;176;3.15;207;733;100;20;82;105,871;6,462;https://libraries.io/pypi/coverage;23;268;50.2K
scikit-learn;137707272;https://github.com/scikit-learn/scikit-learn;41947;2020-08-18;216;0.93;1.6k;6209;100;6;1,851;133,430;4,150;https://libraries.io/pypi/scikit-learn;23;296;18.9K
pyrsistent;137298200;;;;0;0;;;0;0;;;;https://libraries.io/pypi/pyrsistent;20;66;1.72K
itsdangerous;136985966;https://github.com/pallets/itsdangerous;2044;2020-08-17;2;0;0;88;86;161;31;285,800;576;https://libraries.io/pypi/itsdangerous;22;166;52.1K
wrapt;136541183;https://github.com/GrahamDumpleton/wrapt;1363;2020-03-12;5;0;40;74;74;51;15;;;https://libraries.io/pypi/wrapt;22;235;10.7K
pillow;130548120;https://github.com/python-pillow/Pillow;7625;2020-08-15;107;0.68;205;1731;100;11;289;287,623;5,396;https://libraries.io/pypi/Pillow;25;1.41K;55.7K
google-cloud-storage;126393653;https://github.com/googleapis/python-storage;32;2020-08-17;59;5.25;31;90;90;41;55;16,068;362;https://libraries.io/pypi/google-cloud-storage;22;133;1.05K
virtualenv;122958274;https://github.com/pypa/virtualenv;3649;2020-08-17;2;1.3;38;996;100;3;190;;;https://libraries.io/pypi/virtualenv;22;139;17.2K
ipaddress;121695339;https://github.com/phihag/ipaddress;83;2019-10-18;1;0;4;33;33;13;6;;;https://libraries.io/pypi/ipaddress;20;181;6.43K
websocket-client;;;;;0;0;;;0;0;;;;https://libraries.io/pypi/;;;
pyopenssl;117955771;https://github.com/pyca/cryptography;3459;2020-08-17;94;0;24;1459;100;26;203;106,079;2,182;https://libraries.io/pypi/pyOpenSSL;22;418;14.2K
sqlalchemy;117810732;;;;0;0;;;0;0;;;;https://libraries.io/pypi/SQLAlchemy;25;1.08K;41.9K
entrypoints;114687312;https://github.com/takluyver/entrypoints;52;2020-03-15;0;0;2;20;20;19;8;;;https://libraries.io/pypi/entrypoints;18;47;7.58K
google-resumable-media;114603804;https://github.com/googleapis/google-resumable-media-python;17;2020-08-10;7;0.55;8;47;46;151;18;6,735;35;https://libraries.io/pypi/google-resumable-media;16;13;447
